worker_id,descripcion,prioridad,timestamp
worker_037,Tarea para worker_037,baja,2025-06-18T18:45:35.849327
worker_059,Tarea para worker_059,baja,2025-06-24T14:45:35.849335
worker_086,Tarea para worker_086,baja,2025-06-16T04:45:35.849342
worker_046,Tarea para worker_046,alta,2025-06-16T21:45:35.849350
worker_033,Tarea para worker_033,media,2025-06-14T10:45:35.849357
worker_086,Tarea para worker_086,baja,2025-06-20T03:45:35.849364
worker_048,Tarea para worker_048,baja,2025-05-29T10:45:35.849371
worker_013,Tarea para worker_013,media,2025-06-13T21:45:35.849378
worker_079,Tarea para worker_079,baja,2025-06-11T11:45:35.849385
worker_078,Tarea para worker_078,alta,2025-06-26T01:45:35.849392
worker_059,Tarea para worker_059,baja,2025-06-19T01:45:35.849399
worker_052,Tarea para worker_052,alta,2025-06-27T20:45:35.849406
worker_038,Tarea para worker_038,baja,2025-06-25T18:45:35.849418
worker_030,Tarea para worker_030,baja,2025-06-24T09:45:35.849430
worker_058,Tarea para worker_058,media,2025-05-28T22:45:35.849448
worker_089,Tarea para worker_089,baja,2025-06-15T03:45:35.849455
worker_095,Tarea para worker_095,baja,2025-05-31T08:45:35.849462
worker_083,Tarea para worker_083,alta,2025-06-13T02:45:35.849470
worker_052,Tarea para worker_052,baja,2025-06-20T20:45:35.849477
