ausencias_ultimos_30d,patron_whatsapp,hora_peticion_minutos,dia_semana,clima,distancia_km,se_ausento
0,rapido,123,miércoles,lluvioso,23.546208548289183,0
4,normal,421,miércoles,soleado,20.5125668711678,1
0,normal,1254,miércoles,lluvioso,22.003381297474863,1
7,normal,1086,viernes,lluvioso,15.285371151432608,1
0,lento,767,jueves,lluvioso,19.368940467021687,1
10,normal,482,martes,nublado,24.36025149370565,1
0,lento,518,miércoles,nublado,12.538641091153668,1
1,normal,154,sábado,tormenta,24.373388125159927,1
1,lento,91,sábado,soleado,18.168488440882822,0
11,lento,981,miércoles,nublado,5.811129706752801,1
5,normal,454,miércoles,nublado,1.7158405595129538,0
6,normal,597,martes,lluvioso,11.519854411575409,1
4,rapido,509,miércoles,soleado,16.854193520593856,0
0,rapido,1206,martes,nublado,25.354790213901165,0
0,normal,385,sábado,lluvioso,4.69708472406714,0
2,normal,404,miércoles,soleado,24.205984082823793,0
13,rapido,245,viernes,tormenta,26.027262335949583,1
1,lento,741,domingo,soleado,5.3699371230241795,1
4,normal,660,viernes,soleado,25.696235259822352,1
11,rapido,649,sábado,soleado,29.75215346744097,1
9,normal,900,martes,soleado,22.07832610039889,1
5,lento,64,viernes,tormenta,23.75832077292465,1
6,normal,1036,martes,soleado,29.83804275920733,1
3,normal,212,viernes,nublado,18.558956265252416,1
6,normal,241,viernes,soleado,9.928705078471232,1
10,lento,492,martes,nublado,25.288394188205615,1
7,normal,1236,jueves,nublado,18.820087547837307,1
10,normal,337,viernes,soleado,17.85466728790774,1
0,normal,172,miércoles,soleado,8.355431109907109,0
14,lento,671,domingo,lluvioso,22.933693817903713,1
5,rapido,163,sábado,soleado,3.368350999942791,0
7,normal,464,jueves,nublado,27.804325053045176,1
4,lento,994,martes,soleado,10.448880362344058,0
3,rapido,496,jueves,lluvioso,4.705464930909724,0
1,lento,699,lunes,soleado,13.828629459970145,0
5,normal,394,lunes,nublado,2.2316273684394616,0
5,normal,702,viernes,soleado,20.854159633684024,1
10,normal,307,viernes,tormenta,27.17845980291533,1
14,normal,182,miércoles,soleado,25.280627207016753,1
0,normal,628,domingo,lluvioso,4.693714729988551,0
8,lento,509,sábado,nublado,4.661862976124224,1
11,normal,545,jueves,soleado,24.58959998740366,1
10,normal,623,lunes,lluvioso,27.803373963490362,1
5,lento,593,viernes,soleado,14.359425065171186,1
12,normal,743,sábado,lluvioso,15.470162390499212,1
2,rapido,1250,jueves,tormenta,10.229599200186051,1
3,lento,553,viernes,lluvioso,26.933688429436007,1
11,normal,20,viernes,soleado,19.702184253478322,1
10,lento,553,lunes,lluvioso,9.359295737853687,1
3,lento,396,lunes,nublado,9.664703260573297,1
2,lento,624,viernes,lluvioso,26.84480211884447,1
9,normal,104,martes,nublado,1.3953866932688226,1
2,normal,191,viernes,lluvioso,10.359070609072514,1
14,lento,16,sábado,nublado,17.076343755274703,1
2,normal,1143,viernes,nublado,5.298306400880414,1
3,normal,392,miércoles,soleado,3.670863871788104,0
6,normal,424,domingo,lluvioso,24.64301360162624,1
3,lento,128,miércoles,nublado,26.93772727080671,1
8,normal,1153,miércoles,nublado,24.884586203147496,1
0,rapido,571,martes,lluvioso,27.064848802383082,0
7,lento,28,martes,nublado,17.040247160692775,1
6,rapido,1120,viernes,soleado,24.555485508719915,0
1,rapido,1033,miércoles,nublado,12.137236513341913,0
7,rapido,241,martes,nublado,20.321767982892116,1
0,rapido,231,lunes,nublado,29.67623041028577,0
10,normal,788,viernes,soleado,7.546103991334696,1
11,lento,1307,sábado,soleado,12.307092642441336,1
8,normal,714,domingo,soleado,14.921373941992483,0
8,normal,758,jueves,lluvioso,5.0024491235815,1
1,lento,801,viernes,soleado,3.3501197034866466,0
6,lento,775,jueves,nublado,25.061963123327107,1
14,normal,725,miércoles,tormenta,29.327036812,1
13,lento,199,domingo,soleado,12.7370268510601,1
9,rapido,944,jueves,nublado,3.541845249644945,1
2,lento,78,miércoles,lluvioso,2.908541060026718,1
6,lento,955,lunes,tormenta,26.848227984448663,1
11,rapido,855,jueves,lluvioso,14.450613242102717,1
9,rapido,1196,domingo,lluvioso,10.280792180309366,1
8,lento,466,viernes,lluvioso,14.817376865942586,1
3,rapido,580,miércoles,nublado,10.230818746078073,0
11,rapido,1439,viernes,lluvioso,15.182037483920979,1
0,rapido,939,domingo,soleado,25.927135510620168,1
1,normal,448,martes,tormenta,18.176739760800775,0
0,normal,86,miércoles,nublado,21.144959411495087,1
13,normal,100,jueves,nublado,11.575449610795761,1
11,normal,1031,miércoles,soleado,22.416670476805045,1
4,lento,844,viernes,lluvioso,20.331895461501798,1
4,lento,1223,lunes,soleado,4.467297934809637,1
10,rapido,86,miércoles,lluvioso,17.606642740351955,1
6,normal,42,jueves,lluvioso,8.445561392982983,1
8,rapido,1408,martes,soleado,24.31877441937419,1
8,lento,407,sábado,lluvioso,13.352193545541244,1
2,lento,663,lunes,lluvioso,29.845840790698126,1
2,rapido,1040,martes,nublado,3.6825127002299496,0
2,lento,147,miércoles,soleado,23.630088019464598,1
3,normal,276,viernes,soleado,20.537350272722538,1
7,rapido,231,domingo,soleado,23.257466087130457,1
5,normal,365,viernes,soleado,9.918364069223234,1
7,normal,1251,jueves,tormenta,15.269580192089617,1
0,rapido,435,viernes,soleado,24.098747071987543,0
7,normal,398,lunes,lluvioso,7.743698617004795,0
3,lento,1234,viernes,soleado,7.55496270687091,0
10,normal,1414,jueves,nublado,16.980477645553037,1
0,rapido,498,sábado,lluvioso,16.18334380636582,0
7,normal,539,miércoles,lluvioso,9.185611641975052,1
3,rapido,562,domingo,soleado,9.64419386521986,0
5,lento,441,miércoles,nublado,9.057509732990399,1
7,normal,1284,viernes,nublado,23.37384979795614,1
3,lento,772,martes,soleado,19.90512510131136,0
13,rapido,349,miércoles,soleado,25.14009831889733,1
2,normal,1375,sábado,nublado,29.288717821106633,1
13,normal,519,viernes,nublado,14.750764591887606,1
8,normal,1343,domingo,lluvioso,2.934122560758017,1
2,lento,137,jueves,soleado,2.3946770019490273,0
8,lento,991,sábado,nublado,9.574286138876955,1
12,lento,367,viernes,nublado,28.043793091221076,1
1,normal,1243,sábado,lluvioso,16.173178594155374,1
13,normal,1360,miércoles,lluvioso,8.881808966323746,1
1,lento,1246,domingo,nublado,12.575837040819566,0
1,normal,359,jueves,lluvioso,18.359258114735454,1
5,normal,920,viernes,soleado,19.935540085997424,1
2,rapido,328,lunes,nublado,5.463665783704246,0
12,lento,961,jueves,soleado,29.333918619810103,1
8,lento,462,lunes,nublado,16.798394582500876,1
3,rapido,945,sábado,lluvioso,4.9349612159761,0
0,lento,962,martes,lluvioso,26.91542234703788,1
3,rapido,1405,jueves,soleado,3.1645145013034353,0
0,normal,835,sábado,nublado,27.324327562147868,1
13,normal,168,lunes,nublado,29.90040403238049,1
4,normal,216,miércoles,soleado,21.312522175538614,1
3,normal,377,miércoles,soleado,23.342969411145702,0
7,lento,118,martes,soleado,10.781782257557104,1
7,normal,189,jueves,soleado,28.30572872928408,1
6,normal,766,jueves,soleado,16.36170501714266,1
2,normal,369,jueves,soleado,22.23926495132909,1
0,normal,148,sábado,soleado,27.799123761427104,0
0,lento,651,domingo,lluvioso,29.28021930328974,1
11,normal,769,domingo,nublado,25.162926341303557,1
10,lento,373,martes,tormenta,9.78750770247887,1
2,normal,780,jueves,nublado,29.02987798001039,1
5,lento,159,sábado,lluvioso,19.21546640606358,1
6,rapido,350,miércoles,lluvioso,27.988631814206837,1
5,normal,1311,lunes,nublado,20.607045748616205,1
13,lento,1311,sábado,nublado,9.909929893583893,1
13,normal,891,domingo,lluvioso,11.730711200141663,1
5,normal,1249,domingo,soleado,16.963681535985273,1
5,rapido,522,miércoles,soleado,23.91043040523658,0
12,normal,521,miércoles,nublado,10.221493988869714,1
2,normal,782,lunes,nublado,17.81220381789157,0
5,lento,272,miércoles,soleado,11.023124813715643,1
7,normal,935,martes,tormenta,24.657312734418106,1
10,rapido,1425,lunes,nublado,14.535114719270563,1
10,normal,182,miércoles,nublado,3.2249619787336714,1
1,rapido,487,viernes,tormenta,5.815523122964555,0
4,lento,845,sábado,nublado,2.7720353609693364,0
13,lento,123,miércoles,tormenta,15.479785434415431,1
0,rapido,984,martes,nublado,4.083781623098588,0
11,normal,789,jueves,soleado,4.310059109979331,1
14,rapido,413,miércoles,lluvioso,28.290399541112933,1
0,normal,1195,domingo,nublado,26.306997093105608,0
4,normal,1311,domingo,lluvioso,14.110511307529613,1
11,normal,685,domingo,tormenta,29.58835430465597,1
12,lento,112,jueves,lluvioso,1.0054093169492302,1
2,normal,887,domingo,nublado,18.80540423192842,0
3,rapido,121,viernes,lluvioso,18.87641714378423,1
2,rapido,1245,miércoles,nublado,14.265848620226757,0
0,rapido,38,domingo,nublado,12.511491215094493,0
0,normal,496,lunes,lluvioso,14.20611092893762,0
11,lento,779,jueves,soleado,13.033852646310734,1
11,normal,1256,viernes,lluvioso,22.184281846986682,1
13,normal,942,lunes,lluvioso,4.925307614225238,1
12,normal,148,lunes,lluvioso,6.731537397142774,1
13,normal,1420,lunes,nublado,6.235028623380284,1
4,lento,1021,lunes,lluvioso,8.611646968516672,0
5,lento,660,miércoles,nublado,16.232494144665914,1
2,normal,301,domingo,lluvioso,4.225053672808343,1
11,normal,1383,sábado,soleado,26.17690956446862,1
8,normal,237,miércoles,soleado,9.623484407945696,1
4,normal,646,miércoles,soleado,5.713601636592528,0
7,rapido,662,viernes,nublado,20.593017978349057,1
12,normal,235,viernes,nublado,2.1045027173802593,1
0,normal,202,domingo,lluvioso,18.97908838135076,1
13,normal,255,sábado,nublado,21.247754489618494,1
4,rapido,597,viernes,nublado,7.232579410214856,0
14,rapido,661,domingo,soleado,2.2169581298653944,1
2,lento,234,domingo,nublado,11.545715408664039,1
11,lento,1368,martes,nublado,3.859232677016158,1
0,lento,533,sábado,soleado,4.377857640526775,0
3,normal,859,viernes,soleado,8.373575711901072,1
14,rapido,769,sábado,soleado,9.56856981417602,0
12,lento,540,miércoles,soleado,16.369139889621195,1
4,lento,212,miércoles,nublado,20.67336467958738,1
6,lento,462,sábado,soleado,18.190357285235358,1
0,lento,435,martes,lluvioso,5.302449781395987,1
2,lento,282,martes,lluvioso,5.990494941126166,1
1,rapido,1430,sábado,nublado,26.48430824399452,1
8,rapido,87,viernes,tormenta,17.192217136859295,1
9,lento,1067,jueves,nublado,26.22819715403298,1
14,lento,460,martes,nublado,11.774848828276356,1
5,normal,277,lunes,tormenta,18.817600215508392,1
9,lento,420,miércoles,soleado,16.186239065583713,1
2,normal,1376,sábado,tormenta,10.254581204793414,1
7,lento,695,lunes,soleado,14.627545788974265,1
13,rapido,514,sábado,nublado,15.57223542798103,1
7,lento,702,domingo,soleado,6.822358267943679,1
1,normal,18,miércoles,lluvioso,10.135300798925215,0
14,normal,22,miércoles,nublado,23.950882764702293,1
5,normal,412,martes,lluvioso,27.557858944169688,1
6,lento,1053,martes,soleado,11.434028712813685,0
1,normal,107,lunes,soleado,9.902196184061527,0
14,normal,1390,domingo,soleado,6.660717772584593,1
10,normal,1304,sábado,soleado,20.676243890866857,1
9,lento,1151,domingo,tormenta,10.369891348323781,1
1,lento,1252,miércoles,soleado,29.644736633876466,0
9,normal,1134,lunes,lluvioso,10.444859259854644,1
0,normal,135,jueves,lluvioso,12.429945356696216,0
7,lento,361,lunes,soleado,18.496691690149007,1
0,lento,1209,viernes,nublado,24.248844502547843,1
8,lento,128,lunes,soleado,14.616041295023377,1
10,normal,1284,domingo,soleado,13.257024979879791,1
5,lento,514,viernes,soleado,29.87349717424944,1
6,normal,448,viernes,nublado,1.304315593058389,0
12,rapido,1127,viernes,nublado,26.95689337668613,1
9,lento,1247,jueves,nublado,5.325083952252386,1
6,normal,873,lunes,nublado,23.79183301005849,1
9,normal,472,domingo,soleado,18.920015235542643,1
2,lento,1033,lunes,nublado,10.91357127944467,1
1,rapido,1428,jueves,lluvioso,26.34237371010953,1
8,lento,301,miércoles,soleado,1.3743096114487674,1
7,lento,230,martes,soleado,7.574028910172786,1
12,lento,922,domingo,lluvioso,17.439891091236547,1
11,lento,1089,domingo,soleado,11.194725541441242,1
9,normal,936,lunes,nublado,18.700947364231503,1
6,rapido,111,martes,soleado,1.6991956088513378,0
8,normal,1036,sábado,soleado,4.377308983969663,1
3,normal,1416,sábado,soleado,4.6857909663347375,1
12,rapido,499,jueves,soleado,6.489225731564273,1
3,normal,931,sábado,nublado,14.32061178321574,1
0,normal,597,domingo,nublado,22.811732286763565,0
7,normal,233,sábado,lluvioso,27.26062629993813,1
13,rapido,601,miércoles,lluvioso,25.225803378243135,1
13,normal,313,miércoles,nublado,6.709748281494823,1
11,normal,565,miércoles,lluvioso,13.793366014688338,1
2,normal,1035,sábado,soleado,6.782936334997515,0
6,normal,208,jueves,nublado,8.669682683348533,0
14,normal,1037,viernes,lluvioso,15.602862463844698,1
11,normal,1400,viernes,soleado,2.9751617169821536,1
1,lento,1043,martes,nublado,7.327055558204923,1
1,normal,586,viernes,soleado,28.1259666779064,0
6,normal,1014,viernes,nublado,14.51737248709618,1
14,normal,1093,miércoles,lluvioso,13.916209253358295,1
5,normal,1234,miércoles,lluvioso,1.422447487787088,0
2,lento,1124,sábado,lluvioso,8.174592664692028,0
8,lento,697,martes,lluvioso,26.122480643483257,1
9,normal,131,lunes,nublado,5.774224419501394,0
14,normal,1404,domingo,nublado,13.03862324650691,1
13,normal,1155,martes,soleado,1.4155962701430362,1
12,rapido,1043,martes,nublado,14.871728968446119,1
5,lento,535,jueves,nublado,1.6096120950602975,1
