worker_id,dias_laborales,hora_inicio,hora_fin
worker_044,"viernes,domingo,martes,jueves,lunes,miercoles",08:00:00,18:00:00
worker_045,"miercoles,martes,sabado,lunes,viernes",09:00:00,17:00:00
worker_046,"domingo,martes,sabado,jueves,lunes",07:00:00,18:00:00
worker_047,"domingo,sabado,martes,miercoles,lunes,jueves",09:00:00,16:00:00
worker_048,"martes,domingo,jueves,miercoles,sabado,lunes",07:00:00,16:00:00
worker_049,"jueves,miercoles,sabado,lunes,martes",08:00:00,19:00:00
worker_050,"lunes,domingo,miercoles,martes,viernes,jueves",06:00:00,16:00:00
worker_051,"miercoles,sabado,domingo,jueves,viernes,lunes",09:00:00,17:00:00
worker_052,"lunes,sabado,jueves,domingo,miercoles,viernes",08:00:00,19:00:00
worker_053,"sabado,miercoles,viernes,domingo,jueves",06:00:00,18:00:00
worker_054,"sabado,jueves,miercoles,domingo,viernes,martes",07:00:00,17:00:00
worker_055,"sabado,jueves,martes,miercoles,viernes,lunes",08:00:00,18:00:00
worker_056,"jueves,viernes,sabado,miercoles,martes",09:00:00,19:00:00
worker_057,"viernes,jueves,martes,lunes,domingo",08:00:00,16:00:00
worker_058,"sabado,miercoles,martes,viernes,lunes",06:00:00,16:00:00
worker_059,"jueves,viernes,lunes,domingo,martes",07:00:00,19:00:00
worker_060,"jueves,martes,sabado,lunes,domingo,viernes",07:00:00,17:00:00
worker_061,"lunes,viernes,martes,domingo,sabado,jueves",09:00:00,18:00:00
worker_062,"viernes,sabado,domingo,jueves,miercoles,martes",07:00:00,19:00:00
worker_063,"miercoles,martes,domingo,jueves,viernes,lunes",08:00:00,19:00:00
worker_064,"sabado,miercoles,martes,domingo,viernes",08:00:00,16:00:00
worker_065,"martes,domingo,jueves,sabado,miercoles",07:00:00,16:00:00
worker_066,"jueves,miercoles,viernes,domingo,martes,lunes",07:00:00,19:00:00
worker_067,"domingo,viernes,lunes,jueves,martes,sabado",08:00:00,18:00:00
worker_068,"domingo,jueves,viernes,martes,sabado,lunes",08:00:00,19:00:00
worker_069,"lunes,jueves,miercoles,sabado,viernes,domingo",09:00:00,17:00:00
worker_070,"jueves,viernes,sabado,lunes,domingo",09:00:00,17:00:00
worker_071,"martes,lunes,miercoles,jueves,domingo,sabado",09:00:00,18:00:00
worker_072,"domingo,jueves,miercoles,sabado,martes,lunes",09:00:00,16:00:00
worker_073,"miercoles,martes,lunes,viernes,jueves",07:00:00,17:00:00
worker_074,"viernes,martes,sabado,domingo,jueves",06:00:00,17:00:00
worker_075,"sabado,miercoles,domingo,martes,viernes,lunes",07:00:00,18:00:00
worker_076,"viernes,lunes,miercoles,jueves,martes",07:00:00,16:00:00
worker_077,"lunes,sabado,miercoles,domingo,viernes",06:00:00,18:00:00
worker_078,"sabado,miercoles,lunes,domingo,viernes,martes",09:00:00,16:00:00
worker_079,"miercoles,sabado,jueves,martes,viernes,lunes",08:00:00,19:00:00
worker_080,"jueves,sabado,viernes,miercoles,martes,lunes",06:00:00,18:00:00
worker_081,"martes,jueves,viernes,sabado,domingo,lunes",09:00:00,18:00:00
worker_082,"jueves,martes,miercoles,viernes,sabado",08:00:00,18:00:00
worker_083,"viernes,martes,lunes,sabado,miercoles",09:00:00,19:00:00
worker_084,"sabado,jueves,domingo,viernes,lunes",06:00:00,18:00:00
worker_085,"jueves,sabado,martes,miercoles,domingo",08:00:00,19:00:00
worker_086,"jueves,sabado,viernes,miercoles,martes,domingo",08:00:00,18:00:00
worker_087,"martes,lunes,domingo,miercoles,sabado,jueves",07:00:00,17:00:00
worker_088,"miercoles,sabado,viernes,domingo,lunes,jueves",08:00:00,17:00:00
worker_089,"martes,miercoles,lunes,domingo,jueves,viernes",06:00:00,18:00:00
worker_090,"sabado,jueves,lunes,viernes,miercoles",08:00:00,19:00:00
worker_091,"jueves,miercoles,martes,lunes,viernes,sabado",06:00:00,16:00:00
worker_092,"jueves,lunes,viernes,sabado,domingo,miercoles",08:00:00,16:00:00
worker_093,"lunes,viernes,jueves,martes,miercoles",09:00:00,19:00:00
worker_094,"miercoles,viernes,jueves,domingo,sabado,lunes",06:00:00,17:00:00
worker_095,"miercoles,sabado,lunes,martes,viernes",07:00:00,16:00:00
worker_096,"lunes,jueves,sabado,viernes,martes",06:00:00,17:00:00
worker_097,"sabado,miercoles,jueves,lunes,domingo,viernes",08:00:00,17:00:00
worker_098,"lunes,viernes,martes,sabado,jueves,domingo",06:00:00,16:00:00
worker_099,"domingo,miercoles,viernes,sabado,martes",06:00:00,19:00:00
